"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-09-20 ~ 2024-09-19"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 인천광역시"
"시군구 : 부평구"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"69","인천광역시 부평구 부개동","477-3","0477","0003","뉴서울","39.4800","202408","31","17,000","3","6","개인","개인","1989","충선로 191","-","중개거래","인천 부평구","24.09.10"
"70","인천광역시 부평구 산곡동","179-92","0179","0092","현대(179-92)","84.9400","202408","31","31,500","-","4","개인","개인","1999","원적로269번길 15","-","중개거래","인천 부평구","-"
"71","인천광역시 부평구 산곡동","124-1","0124","0001","현대(124-1)","59.4000","202408","31","25,800","-","4","개인","개인","1993","안남로 260","-","중개거래","인천 부평구","-"
"72","인천광역시 부평구 삼산동","453-1","0453","0001","삼산타운7단지","84.0700","202408","31","65,000","-","14","개인","개인","2004","체육관로 27","-","중개거래","인천 부평구","-"
"73","인천광역시 부평구 삼산동","454-4","0454","0004","서해그랑블5단지","130.0383","202408","31","93,000","-","11","개인","개인","2004","굴포로 158","-","중개거래","인천 부평구","-"
"74","인천광역시 부평구 산곡동","180-116","0180","0116","삼보","57.4200","202408","31","16,000","-","3","개인","개인","1985","원적로 288","-","중개거래","인천 부평구","-"
"75","인천광역시 부평구 부개동","500-1","0500","0001","주공5","59.9900","202408","30","27,500","-","1","개인","개인","1998","부개로 11","-","중개거래","인천 부평구","-"
"76","인천광역시 부평구 갈산동","374","0374","0000","아주","84.7500","202408","30","34,000","-","10","개인","개인","1992","갈월서로 26","-","중개거래","인천 부평구","-"
"77","인천광역시 부평구 산곡동","370-399","0370","0399","현대3차","84.9400","202408","30","37,000","-","15","개인","개인","1989","마장로 121","-","중개거래","인천 부평구","-"
"78","인천광역시 부평구 산곡동","307","0307","0000","현대1차","108.5600","202408","30","45,500","-","14","개인","개인","1986","경원대로 1269","-","중개거래","인천 부평구","-"
"79","인천광역시 부평구 부평동","534-96","0534","0096","두산위브","59.7600","202408","30","38,800","-","3","개인","개인","2005","경원대로1344번길 8","-","중개거래","인천 부평구","-"
"80","인천광역시 부평구 부개동","494","0494","0000","성일","50.8800","202408","30","23,000","-","12","개인","개인","1990","수변로52번길 6","-","중개거래","인천 부평구","-"
"81","인천광역시 부평구 산곡동","370-399","0370","0399","현대3차","84.9450","202408","30","39,000","-","8","개인","개인","1990","마장로 121","-","중개거래","인천 부평구","-"
"82","인천광역시 부평구 십정동","188-2","0188","0002","정원","38.6100","202408","29","8,650","-","5","개인","개인","1987","상정로 19","-","중개거래","인천 부평구","-"
"83","인천광역시 부평구 산곡동","518","0518","0000","부평샬레아넬리스","59.9818","202408","29","31,000","-","15","개인","개인","2019","원적로 238","-","중개거래","서울 영등포구, 인천 부평구","-"
"84","인천광역시 부평구 청천동","176","0176","0000","청천푸르지오","133.7100","202408","29","47,900","-","8","개인","개인","1998","세월천로 16","-","중개거래","인천 부평구","-"
"85","인천광역시 부평구 삼산동","440-1","0440","0001","삼산타운주공1단지","59.9900","202408","29","48,700","-","15","개인","개인","2005","굴포로 105","-","중개거래","인천 부평구","-"
"86","인천광역시 부평구 갈산동","369","0369","0000","한국1,동아,팬더","84.3600","202408","29","36,300","-","10","개인","개인","1993","갈월동로 34","-","중개거래","인천 부평구","-"
"87","인천광역시 부평구 부평동","98-85","0098","0085","해송파크뷰","48.9500","202408","29","14,800","-","2","개인","개인","2015","장제로 182","-","중개거래","인천 부평구","-"
"88","인천광역시 부평구 부평동","65-124","0065","0124","한국1","59.8020","202408","29","25,500","-","17","개인","개인","1998","부영로166번길 12","-","중개거래","인천 부평구","-"
"89","인천광역시 부평구 부개동","501-1","0501","0001","부개주공6","84.7900","202408","29","43,000","-","2","개인","개인","1997","부개로 12","-","중개거래","인천 부평구","-"
"90","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","59.9700","202408","29","29,500","-","12","개인","개인","1996","길주남로 144","-","중개거래","인천 부평구","-"
"91","인천광역시 부평구 부개동","494-1","0494","0001","대동(494-1)","84.9400","202408","29","29,250","-","1","개인","개인","1991","부일로113번길 11","-","중개거래","인천 부평구","-"
"92","인천광역시 부평구 십정동","608-4","0608","0004","십정뜨란채1단지","59.9300","202408","29","29,000","-","3","개인","개인","2005","이규보로 79","-","중개거래","인천 부평구","-"
"93","인천광역시 부평구 산곡동","255-1","0255","0001","뉴서울아파트","74.4100","202408","28","24,300","-","8","개인","개인","1991","마장로264번길 33","-","중개거래","인천 부평구","-"
"94","인천광역시 부평구 부개동","477-3","0477","0003","뉴서울","39.4800","202408","28","16,000","-","15","개인","개인","1989","충선로 191","-","중개거래","인천 부평구","-"
"95","인천광역시 부평구 부평동","70-123","0070","0123","동아(2차)","59.8200","202408","28","36,000","-","9","개인","개인","1995","부흥로 246","-","중개거래","인천 부평구","-"
"96","인천광역시 부평구 부평동","64-20","0064","0020","대림1차","76.3880","202408","28","35,000","-","10","개인","개인","1989","부영로 196","-","중개거래","인천 부평구","-"
"97","인천광역시 부평구 부평동","64-20","0064","0020","대림1차","84.9980","202408","28","35,000","-","5","개인","개인","1989","부영로 196","-","중개거래","인천 부평구","-"
"98","인천광역시 부평구 부평동","560-2","0560","0002","웰링턴","61.1700","202408","28","28,000","-","15","개인","개인","2019","대정로 93","-","중개거래","인천 부평구","-"
"99","인천광역시 부평구 부평동","756-421","0756","0421","신성미소지움아파트(101~106동)","59.8040","202408","28","26,000","-","15","개인","개인","2005","경인로 858","-","중개거래","인천 남동구","-"
"100","인천광역시 부평구 산곡동","519","0519","0000","쌍용더플래티넘부평","59.9600","202408","28","48,900","-","9","개인","개인","2022","원적로287번길 25","-","중개거래","인천 부평구","-"
"101","인천광역시 부평구 삼산동","440-1","0440","0001","삼산타운주공1단지","59.9900","202408","28","48,000","-","13","개인","개인","2005","굴포로 105","-","중개거래","인천 부평구","-"
